0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
6,0,0,0,0,0,0,0,20,0,16,28,4,0,26,25,7.8,110.24,2316.4012,-8.88E-16,147.9012,0.052947664,42.98,130.9,3.045602606,4.34,6,0.465617869,0.373021281,0.319607436,0.302304563,0.291874356,1.8,0.06,2.48,2.24,0.022248763,0.002820712,0.68,-0.349327831,-1.494868131,6.411827982,0.048726025,13,73,60,38.14,13.2664,22,43,73,30,46.78,3.6248,43,26.9815386,180.94788,153.9663414,88.31048912,32.9973471,47.867,933.47,3290,2356.53,2316.4882,484.928496,1941,4,13,9,4.94,1.0152,4,3,6,3,4.72,0.6672,4,121,175,54,163.68,8.0368,160,1.33,1.63,0.3,1.4988,0.087776,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.24,3.7632,3,19,16,6.58,3.9744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,13.01,23.195,10.185,18.7483,2.312284,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,1965
6,0,0,0,0,0,0,0,20,0,16,28,4,0,26,800,7.8,110.24,2316.4012,-8.88E-16,147.9012,0.052947664,42.98,130.9,3.045602606,4.34,6,0.465617869,0.373021281,0.319607436,0.302304563,0.291874356,1.8,0.06,2.48,2.24,0.022248763,0.002820712,0.68,-0.349327831,-1.494868131,6.411827982,0.048726025,13,73,60,38.14,13.2664,22,43,73,30,46.78,3.6248,43,26.9815386,180.94788,153.9663414,88.31048912,32.9973471,47.867,933.47,3290,2356.53,2316.4882,484.928496,1941,4,13,9,4.94,1.0152,4,3,6,3,4.72,0.6672,4,121,175,54,163.68,8.0368,160,1.33,1.63,0.3,1.4988,0.087776,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.24,3.7632,3,19,16,6.58,3.9744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,13.01,23.195,10.185,18.7483,2.312284,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,678
6,0,0,0,0,0,0,0,20,0,16,28,4,0,26,1000,7.8,110.24,2316.4012,-8.88E-16,147.9012,0.052947664,42.98,130.9,3.045602606,4.34,6,0.465617869,0.373021281,0.319607436,0.302304563,0.291874356,1.8,0.06,2.48,2.24,0.022248763,0.002820712,0.68,-0.349327831,-1.494868131,6.411827982,0.048726025,13,73,60,38.14,13.2664,22,43,73,30,46.78,3.6248,43,26.9815386,180.94788,153.9663414,88.31048912,32.9973471,47.867,933.47,3290,2356.53,2316.4882,484.928496,1941,4,13,9,4.94,1.0152,4,3,6,3,4.72,0.6672,4,121,175,54,163.68,8.0368,160,1.33,1.63,0.3,1.4988,0.087776,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.24,3.7632,3,19,16,6.58,3.9744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,13.01,23.195,10.185,18.7483,2.312284,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,166
6,0,0,0,0,0,0,0,20,0,20,28,0,0,26,25,8.2,112.56,2360.6812,1.44E-15,148.3572,0.048348003,43.86,132.5,3.020975832,4.34,5,0.479165942,0.382002357,0.323626813,0.304163231,0.292463549,1.8,0.06,2.48,2.8,0.019409169,0.002644218,0.68,-0.296621567,-1.48990655,6.762281238,0.045466792,13,73,60,40.14,13.488,22,43,73,30,46.86,3.6488,43,26.9815386,180.94788,153.9663414,93.51074432,34.97485427,47.867,933.47,3290,2356.53,2360.7682,527.38544,1941,4,13,9,4.94,1.0152,4,3,6,3,4.8,0.664,4,121,175,54,164.36,7.7888,160,1.33,1.61,0.28,1.4936,0.085072,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.8,4.48,3,19,16,7.14,4.744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,16.48,23.195,6.715,18.9527,2.205996,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,1965
6,0,0,0,0,0,0,0,20,0,20,28,0,0,26,800,8.2,112.56,2360.6812,1.44E-15,148.3572,0.048348003,43.86,132.5,3.020975832,4.34,5,0.479165942,0.382002357,0.323626813,0.304163231,0.292463549,1.8,0.06,2.48,2.8,0.019409169,0.002644218,0.68,-0.296621567,-1.48990655,6.762281238,0.045466792,13,73,60,40.14,13.488,22,43,73,30,46.86,3.6488,43,26.9815386,180.94788,153.9663414,93.51074432,34.97485427,47.867,933.47,3290,2356.53,2360.7682,527.38544,1941,4,13,9,4.94,1.0152,4,3,6,3,4.8,0.664,4,121,175,54,164.36,7.7888,160,1.33,1.61,0.28,1.4936,0.085072,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.8,4.48,3,19,16,7.14,4.744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,16.48,23.195,6.715,18.9527,2.205996,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,362
6,0,0,0,0,0,0,0,20,0,20,28,0,0,26,1000,8.2,112.56,2360.6812,1.44E-15,148.3572,0.048348003,43.86,132.5,3.020975832,4.34,5,0.479165942,0.382002357,0.323626813,0.304163231,0.292463549,1.8,0.06,2.48,2.8,0.019409169,0.002644218,0.68,-0.296621567,-1.48990655,6.762281238,0.045466792,13,73,60,40.14,13.488,22,43,73,30,46.86,3.6488,43,26.9815386,180.94788,153.9663414,93.51074432,34.97485427,47.867,933.47,3290,2356.53,2360.7682,527.38544,1941,4,13,9,4.94,1.0152,4,3,6,3,4.8,0.664,4,121,175,54,164.36,7.7888,160,1.33,1.61,0.28,1.4936,0.085072,1.54,1.8,0.32,2,1,1,0.06,0.1128,0,0,4,4,2.48,0.816,2,14,14,2.8,4.48,3,19,16,7.14,4.744,4,0.2,0.32,5,5,0.3,0.564,0,0,8,8,6.92,1.1984,8,5,8,3,7.42,0.6264,8,16.48,23.195,6.715,18.9527,2.205996,16.69,0,0,0,0,2.25E-05,2.25E-05,6.31E-06,9.09E-06,2.25E-05,194,35,209.86,17.1288,194,236
8,0,0,0,0,12,0,0,20,0,20,20,0,0,20,25,9,109.96,2397.1256,-3.33E-16,148.8436,0.049123464,42.48,133.08,3.132768362,4.32,6,0.425205833,0.324721655,0.265052664,0.244059928,0.229774978,1.8,0.08,2.44,4.48,0.023738697,0.00332884,0.6,-0.532744047,-1.474130708,5.491539242,0.047778658,13,73,60,44.88,17.7568,22,43,73,30,47.64,4.2016,43,26.9815386,180.94788,153.9663414,106.1663751,47.27027194,47.867,933.47,3290,2356.53,2397.1976,524.354496,1941,4,13,9,5.12,1.2608,4,3,6,3,4.96,0.6976,4,121,175,54,164.48,8.9408,160,1.3,1.61,0.31,1.4788,0.102432,1.33,1.8,0.32,1,1,1,0.08,0.1472,0,0,4,4,2.44,0.848,2,14,14,4.48,6.0928,3,19,16,8.8,6.288,4,0.2,0.32,5,5,0.4,0.736,0,0,8,8,6.76,1.3856,6,5,8,3,7.36,0.6656,7,16.48,23.195,6.715,19.2194,2.305584,16.69,0,0,0,0,2.25E-05,2.25E-05,4.51E-06,7.21E-06,0,194,35,210.48,17.1392,194,1841
8,0,0,0,0,12,0,0,20,0,20,20,0,0,20,800,10,109.96,2397.1256,-3.33E-16,148.8436,0.049123464,42.48,133.08,3.132768362,4.32,6,0.425205833,0.324721655,0.265052664,0.244059928,0.229774978,1.8,0.08,2.44,4.48,0.023738697,0.00332884,0.6,-0.532744047,-1.474130708,5.491539242,0.047778658,13,73,60,44.88,17.7568,22,43,73,30,47.64,4.2016,43,26.9815386,180.94788,153.9663414,106.1663751,47.27027194,47.867,933.47,3290,2356.53,2397.1976,524.354496,1941,4,13,9,5.12,1.2608,4,3,6,3,4.96,0.6976,4,121,175,54,164.48,8.9408,160,1.3,1.61,0.31,1.4788,0.102432,1.33,1.8,0.32,1,1,1,0.08,0.1472,0,0,4,4,2.44,0.848,2,14,14,4.48,6.0928,3,19,16,8.8,6.288,4,0.2,0.32,5,5,0.4,0.736,0,0,8,8,6.76,1.3856,6,5,8,3,7.36,0.6656,7,16.48,23.195,6.715,19.2194,2.305584,16.69,0,0,0,0,2.25E-05,2.25E-05,4.51E-06,7.21E-06,0,194,35,210.48,17.1392,194,796
8,0,0,0,0,12,0,0,20,0,20,20,0,0,20,1000,11,109.96,2397.1256,-3.33E-16,148.8436,0.049123464,42.48,133.08,3.132768362,4.32,6,0.425205833,0.324721655,0.265052664,0.244059928,0.229774978,1.8,0.08,2.44,4.48,0.023738697,0.00332884,0.6,-0.532744047,-1.474130708,5.491539242,0.047778658,13,73,60,44.88,17.7568,22,43,73,30,47.64,4.2016,43,26.9815386,180.94788,153.9663414,106.1663751,47.27027194,47.867,933.47,3290,2356.53,2397.1976,524.354496,1941,4,13,9,5.12,1.2608,4,3,6,3,4.96,0.6976,4,121,175,54,164.48,8.9408,160,1.3,1.61,0.31,1.4788,0.102432,1.33,1.8,0.32,1,1,1,0.08,0.1472,0,0,4,4,2.44,0.848,2,14,14,4.48,6.0928,3,19,16,8.8,6.288,4,0.2,0.32,5,5,0.4,0.736,0,0,8,8,6.76,1.3856,6,5,8,3,7.36,0.6656,7,16.48,23.195,6.715,19.2194,2.305584,16.69,0,0,0,0,2.25E-05,2.25E-05,4.51E-06,7.21E-06,0,194,35,210.48,17.1392,194,298
11.11,22.22,22.22,22.22,0,0,0,22.22,0,0,0,0,0,0,0,1000,7.9,189.5366,1666.562216,-0.000724372,127.539467,0.044319048,72.6594,155.0956,2.134556575,8.3325,6,0.41659779,0.313474295,0.251172732,0.228869032,0.213571251,1.636363636,0.090909091,6.545454545,0,0.022248763,0.002965528,0.909090909,-0.306834378,-1.812035556,16.36283018,0.035658292,13,29,16,25.54545455,2.842975207,24,49,73,24,58.81818182,5.256198347,49,26.9815386,63.546,36.5644614,55.00081169,6.187035722,51.9961,933.47,2180,1246.53,1693.000909,259.9986777,1357.77,6,13,7,9.181818182,1.652892562,6,3,4,1,3.909090909,0.165289256,4,121,139,18,129.7272727,5.024793388,124,1.61,1.91,0.3,1.815454545,0.093884298,1.66,1.636363636,0.462809917,1,1,1,0.090909091,0.165289256,0,0,10,10,6.545454545,1.950413223,5,0,0,0,0,3,11,8,8.272727273,1.884297521,6,0.363636364,0.462809917,5,5,0.454545455,0.826446281,0,0,5,5,2.545454545,1.58677686,0,1,6,5,3.363636364,1.487603306,1,10.245,16.48,6.235,11.23545455,0.953553719,10.245,0,0,0,0,2.1106628,2.1106628,0.773550673,0.768011874,0,194,35,220.8181818,9.752066116,194,150
